total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
295e4,finance,3,NA,NA,NA,1,Europe
1675e4,mobile,4,3,8,NA,7,Americas
22e6,biotech,2,NA,NA,NA,NA,Americas
37e6,software,2,1,20,NA,11,Americas
25e5,biotech,1,NA,1,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,games_video,0,1,2,4,1,Americas
5648040,ecommerce,2,2,7,50,4,Europe
5e4,ecommerce,1,2,4,NA,1,Asia
18414560,nanotech,2,1,5,12,9,Europe
141294961,messaging,10,3,8,80,8,Americas
4e5,ecommerce,1,1,5,15,2,Americas
0,NA,0,1,1,NA,NA,NA
0,mobile,0,2,3,3,3,Europe
5e5,travel,1,2,3,3,3,Americas
22e5,mobile,1,1,2,6,2,Americas
541712,cleantech,1,NA,NA,NA,NA,Asia
165e3,web,3,2,3,NA,1,Americas
0,NA,0,NA,2,NA,NA,NA
25e5,biotech,1,NA,2,NA,NA,Oceania
72e6,fashion,2,2,6,NA,2,Oceania
1215385,software,3,1,2,2,7,Europe
32e5,NA,1,NA,NA,NA,NA,NA
0,software,0,1,1,1,5,Americas
0,education,0,1,1,2,2,Europe
0,other,0,3,7,69,29,Americas
0,finance,0,NA,NA,NA,NA,NA
486e5,other,1,NA,NA,NA,NA,Asia
0,other,0,1,4,25,6,Americas
0,NA,0,1,1,NA,NA,NA
0,consulting,0,1,3,4,5,Oceania
3e5,mobile,1,2,2,6,1,Americas
104e4,NA,1,NA,NA,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,1,2,3,2,Americas
0,hardware,0,NA,NA,10000,NA,NA
0,games_video,3,2,4,3,2,NA
0,ecommerce,0,NA,1,NA,17,Americas
35e5,software,4,1,4,5,3,Americas
0,public_relations,0,1,3,5,1,Europe
5704626,software,4,NA,2,11,6,Americas
0,biotech,0,2,6,7,1,Americas
5e4,enterprise,1,NA,NA,4,4,Americas
0,automotive,1,1,10,18,4,Americas
0,web,0,1,4,30,10,Americas
0,NA,0,1,1,NA,NA,NA
3e6,NA,1,NA,1,NA,6,Americas
75e4,enterprise,1,2,4,6,4,Americas
1e6,mobile,1,NA,5,NA,4,Asia
771960,other,1,NA,NA,NA,NA,Europe
0,software,0,1,1,12,5,Europe
3e5,social,1,NA,NA,NA,NA,NA
1053e3,travel,3,1,4,NA,1,Americas
81e5,web,2,2,6,10,2,Americas
4e5,web,1,1,9,11,7,Americas
1452741,ecommerce,2,1,3,3,4,Europe
87e5,web,2,1,1,85,8,Americas
4e6,photo_video,4,NA,NA,NA,2,Asia
125e5,software,1,2,1,15,3,Americas
368e3,semiconductor,1,NA,NA,NA,10,Europe
0,web,0,NA,2,10,4,Asia
2962730,mobile,1,1,4,25,2,Americas
931420,mobile,1,1,2,30,4,Europe
0,enterprise,0,1,7,10,3,Americas
5e7,enterprise,1,1,2,NA,NA,Americas
1e7,education,2,4,6,170,6,Europe
1725e3,advertising,3,2,2,9,2,Americas
719118,health,1,NA,NA,3,0,Europe
7994815,software,1,NA,1,NA,NA,Europe
91e5,software,2,NA,3,NA,16,Americas
875e3,web,2,1,5,7,3,Americas
0,web,0,1,4,5,2,Americas
20200245,biotech,3,NA,1,NA,NA,Americas
0,biotech,0,1,4,NA,34,Americas
34e4,other,1,1,2,14,5,Americas
0,software,0,NA,NA,50,11,Americas
3e7,biotech,1,1,4,NA,6,Americas
0,consulting,0,1,1,8,21,Americas
0,education,0,NA,1,NA,NA,Asia
7e4,web,1,2,5,4,3,Americas
75e4,enterprise,2,1,2,3,1,Americas
3e4,web,1,1,1,2,2,Asia
185e3,web,1,1,2,NA,NA,Americas
86250,web,1,NA,2,NA,1,Americas
0,NA,0,NA,NA,NA,NA,NA
0,web,0,1,2,10,3,Americas
3e5,web,1,NA,4,5,NA,Americas
19242,enterprise,1,1,2,2,17,NA
0,NA,0,1,1,NA,NA,NA
1343225,software,1,NA,4,NA,NA,Americas
165e4,enterprise,2,1,2,5,2,Americas
0,other,0,NA,2,8,3,Europe
12541765,biotech,2,1,3,NA,NA,Americas
198609,biotech,1,NA,NA,NA,NA,Europe
0,mobile,0,1,4,10,2,Asia
0,NA,0,1,1,NA,NA,NA
0,ecommerce,0,2,2,2,11,Europe
0,software,0,NA,NA,13,9,Asia
0,software,0,1,1,10,4,Americas
36902500,biotech,4,NA,2,NA,8,Americas
0,NA,0,1,3,NA,NA,NA
65e4,fashion,4,NA,3,16,9,Americas
0,ecommerce,0,1,1,5,2,Americas
5e6,cleantech,1,NA,NA,NA,NA,Americas
347e3,hardware,1,NA,3,NA,87,Europe
15e5,analytics,1,1,3,35,6,Americas
0,web,0,1,2,6,4,Americas
657e5,cleantech,3,3,27,300,6,Americas
6552136,web,3,NA,5,NA,NA,Americas
0,NA,0,NA,1,NA,NA,NA
245e3,real_estate,2,1,1,NA,1,Americas
155e5,fashion,2,3,7,8,2,Americas
25e3,ecommerce,1,1,4,4,1,Americas
537779080,music,7,3,41,200,7,Europe
2612879,finance,2,1,6,9,3,Americas
75e3,social,1,1,4,4,1,Americas
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,NA,2,NA,NA,NA
135668,hospitality,2,1,2,6,4,Europe
1e6,web,1,NA,3,NA,6,Americas
0,software,0,1,2,7,2,Asia
0,consulting,0,NA,NA,NA,13,NA
265e3,hardware,2,NA,3,NA,2,Americas
187539,consulting,1,NA,NA,NA,NA,Europe
0,software,0,NA,NA,NA,0,NA
0,web,0,1,2,1,3,NA
0,NA,0,1,1,NA,NA,NA
0,enterprise,0,NA,NA,50,8,Asia
0,NA,0,1,1,NA,NA,NA
2785e4,advertising,6,3,22,100,4,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,other,0,1,2,7,6,Americas
4e5,education,1,1,1,15,1,Americas
0,consulting,0,1,4,12,14,Americas
0,games_video,0,1,2,NA,1,Europe
0,software,0,1,4,62,18,Americas
0,social,0,NA,3,NA,1,Europe
0,health,0,NA,NA,NA,NA,NA
12e5,enterprise,1,3,2,6,6,Americas
0,mobile,0,NA,NA,NA,13,Europe
0,web,0,1,6,8,2,Europe
1999950,enterprise,1,1,1,NA,NA,Europe
23e5,public_relations,2,2,4,12,2,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
58e4,NA,1,NA,3,NA,2,Americas
38e5,software,1,2,4,70,19,Americas
0,software,0,1,2,40,2,Americas
0,consulting,0,1,1,6,12,Americas
0,NA,0,1,2,NA,NA,NA
6e6,advertising,2,3,6,20,4,Europe
46e5,biotech,1,NA,1,NA,7,Americas
225e4,education,1,2,1,NA,1,Americas
555e3,education,2,NA,2,NA,NA,Americas
58e6,software,4,2,5,400,12,Americas
0,NA,0,1,1,NA,NA,NA
0,consulting,0,1,2,2,1,NA
18321970,biotech,7,1,8,NA,8,Americas
0,web,0,2,2,30,8,Europe
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,other,0,1,3,6,3,Americas
13755,enterprise,1,1,1,1,2,Europe
0,web,0,1,1,5,1,Asia
0,network_hosting,0,NA,NA,NA,11,NA
0,other,0,NA,NA,NA,NA,NA
0,travel,0,NA,1,NA,0,NA
0,web,0,1,3,2,8,Americas
125e4,social,1,2,3,12,3,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,games_video,0,2,1,55,12,Americas
61e5,web,2,NA,NA,NA,NA,NA
0,games_video,0,1,NA,2,4,NA
0,consulting,0,NA,1,NA,16,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,1,5,25,4,Europe
0,NA,0,1,1,NA,NA,NA
25e6,advertising,1,3,14,120,7,Europe
0,NA,0,1,1,NA,NA,NA
525e3,software,3,1,5,6,7,Americas
42e5,enterprise,3,2,20,10,4,Americas
2e6,games_video,1,NA,2,NA,0,Americas
0,web,0,2,12,150,22,Europe
0,semiconductor,0,2,8,80,15,Americas
30073834,enterprise,4,1,7,140,14,Americas
0,mobile,0,1,1,10,7,Africa
0,hospitality,0,NA,NA,NA,2,Americas
0,hardware,0,1,1,10,4,Europe
0,enterprise,0,1,1,3,5,Americas
5285e3,mobile,3,1,5,12,6,Americas
0,web,0,2,4,4,4,Americas
0,other,0,NA,NA,NA,NA,NA
19e4,games_video,1,NA,NA,NA,7,Americas
0,NA,0,1,1,NA,NA,NA
3e6,hardware,1,NA,3,NA,8,Americas
2e6,mobile,1,2,NA,NA,3,Americas
0,network_hosting,0,NA,NA,7,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,2,10,31,7,Americas
0,NA,0,1,4,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
5e6,enterprise,2,2,16,28,8,Europe
0,NA,0,NA,1,NA,NA,NA
0,cleantech,0,1,1,3,2,Asia
4301901,health,2,2,7,9,4,Europe
0,software,0,2,6,43,7,Americas
0,NA,0,NA,2,NA,NA,NA
0,other,0,NA,3,3,5,NA
0,mobile,0,NA,NA,NA,1,NA
67e5,ecommerce,3,2,4,34,10,Americas
2e6,local,1,NA,9,NA,1,Americas
1573650,ecommerce,1,1,4,10,3,Europe
5e5,mobile,1,NA,NA,18,3,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,1,3,4,4,Europe
75e5,advertising,4,4,12,8,6,Asia
0,NA,1,1,2,NA,1,Americas
32e3,education,1,1,1,1,1,Europe
0,ecommerce,0,NA,NA,15,6,NA
0,web,0,1,4,1,17,Americas
1e7,ecommerce,1,1,2,NA,6,Europe
0,education,0,2,9,9,2,Americas
0,software,0,2,2,2,4,Americas
183e5,education,2,2,8,12,2,Americas
0,cleantech,0,1,1,5,3,NA
0,mobile,0,1,3,3,2,Americas
6e5,social,1,2,4,NA,1,Asia
0,finance,0,NA,1,NA,2,Europe
0,public_relations,0,1,1,8,17,Americas
0,NA,0,1,1,NA,NA,NA
580749,social,3,1,1,NA,1,Asia
0,NA,0,NA,1,NA,NA,NA
0,software,0,NA,NA,NA,2,Americas
16e6,web,1,2,7,NA,4,Europe
55e5,software,1,1,6,25,7,Americas
155e4,semiconductor,1,NA,NA,NA,NA,Europe
0,consulting,0,NA,NA,NA,9,NA
0,games_video,0,1,3,60,4,Americas
0,enterprise,0,1,3,4,3,Americas
0,software,0,NA,NA,2,8,NA
0,biotech,0,1,NA,NA,NA,Americas
1e7,manufacturing,1,1,2,10,5,Americas
0,web,0,NA,NA,1,4,NA
0,public_relations,0,1,1,15,6,Americas
203e4,NA,1,NA,2,NA,NA,Europe
2e6,software,1,2,7,3,5,Europe
2954e4,web,4,3,15,180,5,Americas
55e4,games_video,1,NA,NA,NA,5,NA
3e5,consulting,1,1,1,12,6,Asia
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,5,NA,NA,Europe
10355121,health,1,NA,NA,NA,11,Americas
0,NA,0,NA,NA,NA,NA,NA
5e5,web,1,1,5,9,4,Asia
42e5,education,4,1,3,NA,1,Americas
0,web,1,2,2,2,4,Americas
0,NA,0,NA,1,NA,NA,NA
0,ecommerce,0,1,2,NA,7,Americas
125e3,games_video,1,1,3,8,4,Americas
15e4,software,1,NA,NA,NA,NA,Americas
0,hardware,0,NA,NA,NA,3,NA
0,NA,0,1,1,NA,NA,NA
19616,NA,1,NA,NA,NA,NA,Americas
6199977,software,2,NA,NA,NA,19,Americas
128e4,NA,1,NA,NA,NA,NA,NA
29222,public_relations,1,NA,2,3,4,Europe
87e5,health,1,NA,3,NA,14,Americas
0,public_relations,0,1,1,14,24,Americas
0,web,0,NA,1,2,2,Americas
18e4,hardware,1,NA,1,NA,4,Americas
21e5,enterprise,1,1,1,NA,15,Americas
225e4,software,2,2,7,13,3,Americas
0,NA,0,NA,1,NA,NA,NA
11373300,web,1,NA,NA,NA,12,Europe
0,public_relations,0,NA,1,3,3,Americas
0,security,0,2,20,400,19,Americas
0,NA,0,NA,NA,NA,0,NA
0,NA,0,1,2,NA,NA,NA
0,other,0,1,1,100,27,Africa
466905435,ecommerce,10,5,29,500,13,Americas
0,web,1,3,4,10,6,Europe
22500,social,1,1,NA,NA,NA,Americas
352239,sports,2,1,1,8,5,Americas
1932079,software,1,1,2,37,8,Americas
0,web,0,1,5,3,5,Europe
6572736,biotech,1,NA,4,NA,6,Americas
62e4,enterprise,2,3,4,2,4,Americas
17e5,consulting,1,NA,3,NA,NA,NA
0,mobile,0,2,1,12,1,Americas
1e6,mobile,1,NA,1,NA,2,Americas
0,games_video,0,2,13,73,6,Americas
0,advertising,0,1,1,10,3,Europe
24e4,analytics,1,NA,2,NA,NA,Americas
43049999,enterprise,3,3,14,150,9,Americas
1052500,ecommerce,2,NA,NA,NA,2,Americas
0,cleantech,0,NA,NA,NA,6,NA
0,consulting,0,1,3,7,4,Americas
631945,mobile,4,1,4,4,1,Europe
0,public_relations,0,1,4,10,5,Asia
0,software,0,2,6,7,3,Americas
42e6,real_estate,1,NA,NA,NA,NA,Asia
0,software,0,1,2,3,1,Europe
0,enterprise,2,1,3,10,4,Americas
0,NA,0,1,1,NA,NA,NA
87949979,software,2,1,14,130,12,Americas
29e6,enterprise,2,3,13,150,6,Americas
0,software,0,1,1,1,2,Americas
76e4,health,1,1,3,NA,3,Americas
15e5,software,2,2,6,6,2,Americas
0,web,0,1,1,3,1,NA
0,NA,0,NA,NA,NA,NA,NA
0,web,0,NA,NA,4,3,NA
9e6,enterprise,1,3,10,30,3,Europe
0,NA,0,1,1,NA,NA,NA
325e3,mobile,3,2,5,5,1,Americas
964e5,biotech,3,2,4,NA,NA,Americas
25e4,web,1,NA,2,NA,NA,NA
95e4,web,1,NA,1,NA,1,NA
0,NA,0,NA,2,NA,NA,NA
1e6,health,1,2,6,6,2,Americas
0,consulting,0,1,29,10,31,Americas
0,NA,0,1,5,NA,NA,NA
13e5,games_video,3,1,10,10,5,Oceania
21e5,advertising,3,2,10,7,2,Americas
285e3,biotech,1,NA,1,NA,2,Americas
0,web,0,1,3,5,4,Europe
726e4,games_video,1,2,31,400,41,Americas
94e4,messaging,1,1,3,7,9,Americas
0,other,0,NA,NA,NA,NA,NA
0,software,0,NA,1,NA,4,Europe
0,enterprise,0,1,3,100,2,Americas
0,NA,0,1,2,NA,NA,NA
5e5,education,1,1,2,16,2,Asia
268e5,games_video,2,2,14,NA,24,Americas
0,games_video,0,1,2,10,7,Americas
1005e4,ecommerce,5,2,1,65,5,Americas
0,biotech,0,2,18,NA,NA,Americas
0,software,0,1,3,12,4,Europe
0,web,0,2,28,541,18,Americas
7e4,mobile,1,2,6,6,1,Americas
0,NA,0,NA,2,NA,NA,NA
75e4,NA,1,NA,NA,NA,20,Americas
0,NA,0,1,1,NA,NA,NA
1887e4,NA,3,NA,NA,NA,NA,Americas
52e5,semiconductor,1,1,3,NA,NA,Americas
165e4,software,2,3,5,13,4,Americas
0,games_video,0,1,1,5,4,Asia
245e4,software,1,NA,NA,NA,12,Europe
0,NA,0,NA,1,NA,NA,NA
0,software,0,1,4,9,4,Asia
1363e3,transportation,6,2,8,5,6,Americas
1e5,medical,1,NA,NA,NA,3,Americas
0,medical,0,NA,NA,NA,46,NA
15e5,NA,1,NA,NA,NA,27,Europe
25e4,education,1,1,2,2,1,Oceania
43e5,security,1,2,7,25,6,Europe
75e4,consulting,1,NA,NA,NA,0,Americas
207e5,software,3,2,2,NA,13,Americas
2555672,biotech,1,NA,NA,NA,12,Europe
0,NA,0,NA,1,NA,NA,NA
325e3,software,1,1,1,12,1,Europe
9e5,enterprise,1,2,2,14,3,Americas
1e6,enterprise,1,NA,NA,NA,2,Europe
575e3,software,1,NA,1,NA,NA,Europe
25e3,analytics,1,2,3,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,legal,0,NA,NA,11,7,Americas
375e3,travel,1,1,2,5,2,Europe
56e5,biotech,2,NA,2,NA,11,Americas
272e5,enterprise,3,2,8,100,5,Americas
1675e3,mobile,2,2,3,NA,1,Americas
0,mobile,0,2,1,3,4,Americas
0,NA,0,NA,NA,NA,NA,NA
0,consulting,0,1,1,2,3,NA
104e5,music,3,1,6,72,7,Americas
11e6,security,1,1,3,NA,11,Americas
0,software,0,NA,NA,6,6,NA
0,NA,0,NA,NA,NA,NA,NA
20209960,semiconductor,2,2,3,NA,NA,Europe
3035e3,software,1,1,9,100,13,Americas
0,public_relations,0,1,1,5,3,Americas
21e4,consulting,1,2,3,10,3,Asia
0,web,0,1,1,4,1,NA
305e3,web,1,1,3,5,2,Americas
11e5,games_video,2,2,5,12,6,Asia
25e4,network_hosting,1,NA,1,1,5,Americas
81e5,software,5,NA,1,NA,NA,Americas
0,search,0,NA,NA,NA,NA,Oceania
35e4,messaging,2,1,2,4,4,Europe
0,software,0,2,6,58,9,Americas
0,software,0,1,2,20,3,Africa
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
168e3,manufacturing,1,NA,NA,NA,NA,Americas
6167e3,ecommerce,3,2,4,30,5,Europe
0,web,0,2,1,70,6,Asia
0,NA,0,1,1,NA,NA,NA
0,public_relations,0,1,2,2,0,Europe
16e5,manufacturing,1,1,1,4,4,Americas
0,other,0,1,1,3,4,Americas
0,software,0,1,3,NA,11,Americas
0,other,0,NA,NA,3,1,NA
1276105,mobile,1,NA,1,NA,NA,Europe
0,other,0,1,3,100,16,Americas
0,web,0,1,2,5,3,Americas
0,advertising,0,1,2,10,3,Americas
0,advertising,0,1,1,10,10,Americas
999997,finance,4,2,11,18,3,Americas
26e5,cleantech,1,NA,1,NA,8,Americas
0,advertising,0,1,6,20,2,Americas
0,games_video,0,1,5,30,14,Europe
0,hardware,0,1,1,3,0,Europe
22e5,public_relations,1,NA,NA,NA,NA,Asia
85e5,software,2,3,6,NA,4,Americas
949606,games_video,2,1,5,16,7,Europe
1e7,NA,1,1,3,NA,NA,NA
0,advertising,0,1,2,50,12,Asia
765e4,analytics,2,3,23,21,3,Americas
0,advertising,0,1,2,10,5,Americas
6e3,advertising,1,1,2,45,2,Oceania
1e8,finance,1,2,11,500,3,Americas
109e5,software,2,2,8,NA,8,Asia
655e3,medical,1,NA,1,NA,1,Americas
55e5,biotech,1,NA,3,NA,31,Americas
25e3,web,1,2,2,3,1,Americas
2505e5,software,9,4,22,280,9,Americas
0,web,0,NA,NA,NA,7,Americas
804e3,medical,2,1,4,NA,1,Europe
0,fashion,2,1,3,25,5,Europe
3933515,news,3,1,2,20,9,Europe
0,web,0,1,5,2,4,Europe
0,enterprise,0,1,1,4,2,Europe
0,NA,0,1,1,NA,NA,NA
2249999,biotech,1,NA,1,NA,3,Americas
3469500,cleantech,3,NA,3,NA,7,Americas
0,NA,0,NA,1,NA,NA,NA
25e4,education,1,NA,1,NA,NA,Americas
0,games_video,0,3,9,12,4,Asia
0,social,1,1,2,2,3,Americas
16e5,web,3,NA,1,10,3,Asia
0,consulting,0,NA,3,25,20,Americas
0,NA,0,NA,1,NA,NA,NA
2e4,ecommerce,1,1,3,3,2,NA
26e5,games_video,1,3,10,NA,5,Americas
0,games_video,0,2,1,2,1,Americas
85e3,advertising,1,1,3,5,4,Asia
35e4,web,1,NA,NA,NA,10,Americas
0,network_hosting,0,1,1,6,4,Americas
0,NA,0,NA,1,NA,NA,NA
0,advertising,0,1,6,70,NA,Americas
0,web,0,1,1,4,2,Asia
3e5,NA,1,NA,1,NA,NA,Americas
0,software,0,NA,NA,8,NA,Europe
0,web,0,NA,NA,NA,17,Europe
14e5,web,2,2,9,NA,1,Europe
25e4,software,1,NA,3,NA,NA,Americas
0,consulting,0,1,4,5,2,Americas
0,NA,0,1,3,NA,NA,NA
0,other,0,1,2,30,12,Americas
0,NA,0,1,2,NA,NA,NA
0,other,0,1,2,NA,4,NA
0,consulting,0,1,1,1,1,Europe
64e5,ecommerce,1,1,2,NA,1,Americas
0,ecommerce,0,2,2,6,2,Europe
2645e4,biotech,2,NA,1,NA,13,Americas
74e6,nonprofit,6,3,57,143,10,Americas
0,web,0,1,1,1,4,NA
0,web,0,2,3,10,4,Americas
2557400,automotive,1,1,3,12,3,Europe
0,web,1,1,2,10,4,Asia
23326001,network_hosting,4,1,8,32,6,Americas
1681e3,messaging,2,2,3,4,1,Europe
4e5,advertising,2,1,3,5,2,Asia
0,NA,0,NA,2,NA,NA,NA
46e5,mobile,2,3,4,14,4,Europe
0,NA,0,1,3,NA,NA,NA
0,ecommerce,0,1,2,2,3,Europe
0,design,0,NA,NA,NA,3,Europe
9791,analytics,1,1,2,2,1,Americas
0,software,0,1,2,2,2,Americas
627e5,cleantech,10,1,17,NA,17,Americas
372860,software,1,NA,NA,NA,6,Americas
485e5,biotech,3,NA,4,NA,NA,Americas
0,web,0,1,2,20,15,Americas
0,software,0,NA,1,75,10,Americas
2e6,software,1,2,3,20,10,Americas
0,web,0,1,1,6,1,Americas
101e4,biotech,1,NA,2,NA,NA,Europe
0,cleantech,0,2,1,3,2,Americas
167e3,health,1,NA,3,NA,2,Americas
0,games_video,0,1,6,12,3,Americas
0,other,0,NA,NA,NA,NA,NA
0,other,0,2,8,10,2,Americas
0,NA,0,NA,1,NA,NA,NA
0,public_relations,0,NA,NA,7,1,Europe
22e5,web,1,4,11,12,6,Americas
0,other,0,NA,NA,NA,NA,Europe
0,advertising,0,1,1,10,2,Americas
0,other,0,NA,NA,25,33,NA
0,mobile,0,2,6,10,6,Europe
3e6,games_video,1,NA,NA,NA,NA,Americas
0,NA,0,NA,2,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,web,0,1,2,7,3,Asia
999999,hardware,1,NA,4,NA,4,Americas
262500,cleantech,3,1,2,2,1,Europe
520756,biotech,2,NA,3,NA,16,Americas
7e5,NA,1,1,2,NA,NA,Europe
0,software,0,1,2,5,3,Africa
0,NA,0,NA,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,web,0,1,1,18,5,Asia
5e4,consulting,1,1,1,5,4,Europe
877e4,enterprise,5,1,4,26,7,Americas
0,web,0,NA,1,NA,4,Asia
0,mobile,0,1,1,5,2,Americas
85e5,ecommerce,3,1,5,NA,3,Americas
35e4,enterprise,1,1,1,25,3,Africa
0,other,0,NA,NA,NA,NA,NA
0,ecommerce,0,NA,NA,NA,2,Europe
9197854,games_video,2,2,7,10,5,Americas
207e5,cleantech,2,NA,NA,NA,NA,Americas
0,mobile,0,1,1,25,2,Asia
0,software,0,1,1,4,3,Americas
0,web,0,3,3,35,12,Oceania
0,software,0,1,1,50,16,Europe
0,search,0,NA,4,15,6,Europe
0,consulting,0,NA,NA,NA,NA,NA
0,other,0,1,NA,NA,14,Asia
245e4,education,2,2,7,NA,4,Americas
6502e4,software,5,1,25,1000,14,Americas
505e5,advertising,5,3,13,NA,6,Americas
0,NA,0,1,1,NA,NA,NA
2e7,biotech,2,NA,3,NA,2,Americas
1e3,messaging,1,1,2,3,2,Oceania
0,NA,0,1,1,NA,NA,NA
706e5,advertising,5,2,8,NA,6,Americas
2e4,web,1,2,8,NA,2,Americas
0,web,0,1,1,1,3,Europe
4e7,web,3,NA,NA,NA,2,Asia
0,web,0,2,1,3,2,Americas
10106e4,enterprise,3,2,10,8,3,Americas
4e4,hospitality,1,1,3,5,2,Americas
0,consulting,0,NA,NA,27,18,Americas
0,web,0,NA,NA,3,5,NA
0,web,0,NA,NA,NA,NA,NA
0,advertising,0,3,20,470,14,Europe
95e5,medical,1,NA,5,30,10,Europe
3859800,education,1,NA,NA,NA,2,Europe
13375e3,messaging,4,3,6,NA,1,Americas
0,games_video,0,NA,10,11,22,NA
1515e4,ecommerce,2,2,13,29,2,Americas
294e4,software,1,3,4,70,12,NA
0,games_video,0,NA,5,9,4,Asia
2e6,advertising,1,NA,NA,NA,NA,Europe
107016021,NA,4,1,23,NA,6,Americas
8e6,semiconductor,1,NA,NA,NA,13,Americas
3500210,hardware,1,NA,1,NA,NA,Americas
0,software,0,2,3,17,5,Americas
3175200,ecommerce,3,1,2,2,3,Europe
0,web,0,1,1,1,1,Europe
2449500,software,1,NA,1,NA,4,Americas
245e5,mobile,3,2,12,NA,8,Americas
71e5,mobile,3,3,13,25,3,Americas
15e5,ecommerce,1,NA,1,NA,NA,Americas
53159,sports,1,NA,NA,NA,NA,Asia
0,mobile,0,1,2,3,2,Americas
816e4,semiconductor,1,NA,NA,NA,NA,Americas
1e6,music,1,2,7,15,2,Americas
121e4,software,1,NA,NA,NA,NA,Europe
13e5,finance,1,1,3,9,3,Americas
31e5,network_hosting,1,NA,NA,NA,NA,NA
5e5,consulting,1,3,8,55,5,Oceania
0,other,0,2,3,3,1,Africa
0,NA,0,NA,1,NA,NA,NA
1265e4,software,2,3,15,40,3,Europe
0,NA,0,1,21,83000,NA,Americas
0,web,0,NA,4,20,NA,Americas
2434189,education,3,1,1,NA,9,Europe
0,games_video,0,1,1,5,1,Americas
2098400,mobile,1,1,2,8,2,Europe
0,advertising,0,1,2,10,1,Americas
512e4,mobile,3,3,7,NA,5,Americas
0,mobile,0,NA,NA,2,3,NA
0,NA,0,1,5,NA,NA,NA
0,ecommerce,0,1,3,25,6,Americas
2466432,finance,3,NA,3,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
0,consulting,0,NA,NA,50,2,Asia
65e5,enterprise,2,2,8,NA,NA,Americas
2e7,mobile,1,NA,NA,NA,NA,Americas
6e5,games_video,1,NA,1,5,NA,Americas
15e5,social,1,1,6,NA,2,Americas
1e6,analytics,1,1,2,5,3,Americas
2e7,biotech,1,NA,1,NA,13,Americas
13e4,games_video,1,1,8,12,2,Americas
3148e4,other,2,1,12,50,13,Americas
53e6,cleantech,1,NA,2,NA,7,Asia
3e7,ecommerce,1,NA,NA,NA,9,NA
0,consulting,0,3,44,90000,54,Americas
135e5,games_video,4,2,5,50,3,Asia
2e5,mobile,1,2,6,6,2,Americas
4e4,social,1,1,9,4,2,Americas
0,enterprise,0,1,1,4,1,Europe
0,software,0,NA,NA,20,2,Asia
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
6e6,mobile,1,NA,4,NA,5,Americas
0,software,0,NA,NA,3,1,NA
46e5,social,2,3,5,NA,14,Americas
0,NA,0,NA,1,NA,NA,NA
0,enterprise,2,2,3,10,2,Europe
0,cleantech,0,1,1,30,5,Europe
0,hardware,0,1,1,4,6,Americas
0,games_video,0,1,1,NA,0,Americas
4094700,software,2,1,5,200,8,Europe
25e4,mobile,1,1,1,NA,0,Europe
8719061,fashion,2,NA,2,NA,11,Americas
227505,games_video,1,NA,2,8,5,Europe
0,enterprise,0,2,4,400,8,Asia
0,NA,0,1,1,NA,NA,NA
0,software,0,1,1,NA,0,NA
1171464,software,2,1,1,NA,NA,Americas
62e4,medical,2,2,3,3,2,Americas
0,advertising,0,2,2,3,2,Americas
0,enterprise,0,NA,NA,NA,NA,Europe
0,ecommerce,0,1,1,4,3,Europe
104e5,finance,1,NA,3,NA,8,Americas
0,ecommerce,0,1,2,20,5,Americas
0,software,0,2,2,185,66,Americas
930881,software,1,NA,2,NA,1,Americas
2e5,web,1,1,3,4,5,Americas
0,public_relations,0,NA,NA,NA,0,NA
13663460,advertising,6,3,11,25,5,Europe
49e5,analytics,3,1,3,NA,6,Americas
0,finance,0,1,3,2,7,Americas
0,NA,0,1,1,NA,NA,NA
25e5,advertising,2,1,24,NA,4,Americas
75e4,web,1,1,1,NA,2,Asia
0,NA,0,1,NA,NA,NA,Americas
56963636,medical,9,NA,5,NA,7,Americas
0,ecommerce,0,1,4,8,1,Americas
1e7,advertising,1,NA,NA,NA,NA,Asia
0,web,0,NA,NA,NA,2,Africa
2e7,web,1,2,11,150,6,Americas
5e4,mobile,1,1,3,9,4,Americas
0,web,0,1,2,300,4,Americas
125e4,biotech,1,NA,1,NA,NA,Asia
