status,category,region,number_of_employees,company_age,number_of_funding_rounds,total_funding_usd,number_of_business_milestones,relationships
closed,web,Americas,NA,NA,1,8712460,NA,NA
acquired,semiconductor,Americas,NA,14,3,53531124,NA,4
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,NA,1
acquired,ecommerce,Americas,11,5,2,4454655,0,4
closed,web,NA,NA,6,1,0,1,NA
closed,web,Americas,6,5,2,202075,NA,NA
ipo,web,Americas,247,13,0,0,NA,1
acquired,web,NA,NA,NA,0,0,1,NA
acquired,web,NA,NA,NA,0,0,2,1
acquired,NA,Europe,NA,14,0,0,1,1
closed,ecommerce,Americas,4,5,2,227242,NA,1
acquired,software,Americas,NA,13,1,4039925,1,2
acquired,enterprise,Americas,NA,11,4,39151259,3,18
acquired,mobile,Americas,NA,12,0,0,1,4
closed,other,Americas,NA,NA,1,1515068,NA,NA
closed,mobile,NA,NA,NA,3,377741701,NA,5
acquired,NA,Americas,NA,NA,0,0,NA,NA
closed,hardware,Americas,NA,14,3,149478458,NA,1
ipo,web,NA,NA,8,2,569253377,2,3
acquired,advertising,Americas,NA,NA,0,0,NA,NA
closed,web,Oceania,4,5,0,0,2,NA
acquired,network_hosting,Americas,NA,13,0,0,NA,4
acquired,security,NA,342,29,1,69199908,1,10
acquired,web,Europe,5,7,1,0,2,2
acquired,games_video,NA,NA,NA,0,0,NA,NA
acquired,ecommerce,Americas,2,4,0,0,2,3
acquired,web,Americas,NA,13,1,29699943,1,2
acquired,consulting,Americas,NA,NA,0,0,NA,NA
acquired,consulting,Americas,NA,16,7,65548877,2,12
closed,web,Americas,NA,8,1,4040172,NA,NA
closed,software,Americas,NA,6,1,2969823,NA,NA
acquired,software,Americas,NA,NA,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,NA,NA
ipo,consulting,Americas,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,14,0,0,NA,NA
acquired,web,Americas,NA,NA,0,0,1,20
acquired,NA,Americas,NA,10,0,0,1,5
acquired,NA,NA,NA,NA,0,0,1,1
acquired,other,Americas,NA,10,0,6059795,NA,NA
acquired,hardware,Europe,NA,26,0,0,1,102
acquired,semiconductor,Americas,NA,14,2,20200145,1,3
ipo,software,Americas,70,12,0,0,1,6
acquired,NA,Americas,NA,NA,0,0,1,5
acquired,security,Americas,896,23,0,0,3,18
acquired,hardware,Asia,NA,9,2,12770863,2,1
ipo,hardware,Americas,NA,NA,0,0,3,10
acquired,software,Americas,NA,11,1,11110132,1,6
acquired,mobile,Americas,NA,9,2,12671995,1,5
acquired,hardware,Americas,NA,NA,2,30299589,1,5
acquired,games_video,Americas,NA,18,0,0,NA,2
acquired,advertising,Europe,21,8,0,0,2,8
acquired,advertising,Americas,5,5,0,1286960,2,9
closed,consulting,Americas,NA,NA,1,12399,2,1
acquired,software,Americas,NA,NA,0,0,NA,36
acquired,enterprise,Americas,NA,NA,1,6929946,1,2
closed,web,Americas,NA,6,1,5946,NA,1
closed,other,Americas,3,7,1,1015,NA,NA
acquired,software,Americas,10,6,0,0,1,1
acquired,web,NA,NA,NA,0,0,NA,NA
ipo,software,Americas,111,8,2,54241850,2,12
closed,games_video,Americas,NA,6,0,0,1,2
acquired,games_video,NA,NA,NA,0,0,NA,NA
acquired,games_video,NA,NA,NA,0,0,1,1
acquired,news,Americas,NA,NA,4,6312178,2,6
acquired,software,Americas,NA,NA,1,5940267,1,2
acquired,web,NA,NA,NA,0,0,NA,4
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,software,Americas,60,12,1,11198516,3,12
acquired,enterprise,Americas,NA,7,1,9899747,NA,3
acquired,NA,Europe,NA,NA,0,0,2,1
acquired,games_video,Americas,NA,5,3,4383091,2,4
acquired,NA,Americas,NA,NA,0,0,NA,2
acquired,software,Americas,45,NA,3,12375159,1,8
closed,software,Europe,NA,8,2,631658,NA,NA
acquired,games_video,Europe,NA,11,2,4399176,1,2
acquired,software,NA,NA,NA,0,0,NA,3
acquired,enterprise,NA,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,1,NA
ipo,web,Americas,NA,NA,0,0,1,2
acquired,public_relations,Americas,NA,NA,0,0,1,NA
acquired,software,Americas,14,5,0,0,2,1
acquired,web,Americas,15,8,1,0,3,10
acquired,other,Asia,23,7,1,247428,NA,4
closed,advertising,Americas,4,5,3,153443,1,1
acquired,software,Europe,7,11,1,151518,1,2
acquired,advertising,Europe,55,5,2,0,1,4
acquired,enterprise,Americas,21,5,2,7575123,3,12
acquired,other,Americas,NA,NA,0,0,NA,NA
acquired,security,NA,NA,NA,0,0,NA,NA
closed,web,Americas,NA,NA,1,1979941,NA,NA
closed,web,Americas,NA,NA,1,4039795,NA,NA
closed,advertising,Asia,163,11,2,0,NA,6
closed,web,Americas,10,6,2,3960363,NA,1
acquired,enterprise,Americas,NA,15,2,3959831,NA,NA
acquired,web,Americas,NA,NA,1,2019932,2,4
acquired,software,Europe,NA,NA,2,1288023,NA,NA
acquired,software,Americas,NA,NA,1,2969781,1,1
acquired,software,NA,NA,NA,1,4949949,2,4
closed,web,Americas,3,5,1,100993,NA,4
acquired,legal,NA,NA,NA,0,0,NA,NA
acquired,web,Americas,35,5,0,0,2,2
closed,web,Europe,3,3,0,0,NA,NA
closed,web,Europe,3,5,1,0,2,4
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,NA,NA
closed,other,Americas,8,8,1,252429,0,14
closed,web,NA,1,5,0,0,NA,1
acquired,security,Americas,NA,10,1,8079885,1,5
closed,software,NA,NA,NA,1,26259950,NA,NA
acquired,ecommerce,Americas,NA,52,0,0,1,2
acquired,NA,Americas,NA,NA,0,0,NA,NA
closed,web,NA,2,6,1,454523,NA,0
acquired,games_video,Americas,NA,14,6,51964935,2,3
closed,software,Americas,59,8,0,1211969,1,4
acquired,NA,Americas,NA,NA,0,0,2,6
ipo,software,Americas,303,16,3,34913571,2,18
ipo,mobile,Asia,NA,NA,0,6731816,1,1
acquired,advertising,Americas,NA,10,0,0,1,2
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,software,Americas,65,17,0,0,NA,2
acquired,software,Europe,NA,19,0,0,2,4
acquired,software,Americas,NA,12,0,0,4,15
closed,mobile,Europe,12,6,1,0,1,6
closed,mobile,Americas,NA,7,2,126248246,2,NA
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,NA,NA
closed,web,NA,7,4,0,505038,NA,NA
closed,other,Europe,10,5,1,249510,NA,5
acquired,other,NA,3,NA,0,0,NA,NA
ipo,web,Americas,NA,NA,0,23833993,1,31
acquired,mobile,Americas,NA,9,2,17675208,2,4
acquired,enterprise,Americas,23,7,3,50803038,2,9
acquired,consulting,Americas,49,8,1,5444981,1,18
acquired,web,Americas,7,7,0,0,NA,2
closed,games_video,Americas,NA,1,1,0,1,2
acquired,social,Europe,27,5,2,2103906,3,13
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,NA,NA
ipo,advertising,Europe,2720,18,0,0,2,23
acquired,ecommerce,Americas,148,NA,1,15150107,1,7
acquired,other,Oceania,18,5,1,0,NA,2
acquired,enterprise,NA,NA,NA,0,0,1,NA
acquired,messaging,NA,3,6,2,2019822,2,5
closed,legal,Americas,4,4,2,0,2,3
acquired,enterprise,Americas,NA,11,2,15150405,NA,4
acquired,enterprise,Americas,NA,13,0,0,3,20
closed,games_video,Americas,NA,8,1,10394649,NA,1
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,1,1
acquired,ecommerce,NA,NA,NA,0,0,NA,NA
acquired,ecommerce,NA,NA,NA,0,0,NA,NA
acquired,games_video,NA,NA,NA,0,0,1,4
closed,software,Americas,3,8,0,0,NA,0
acquired,messaging,Americas,NA,6,2,12018771,4,12
closed,ecommerce,Americas,8,5,3,9090264,2,1
closed,games_video,NA,NA,5,0,0,NA,3
acquired,search,Americas,12,7,0,0,4,6
acquired,other,Europe,10,5,0,0,1,8
acquired,advertising,Americas,25,7,1,2969921,1,4
closed,web,Americas,2,4,0,0,2,1
closed,mobile,Americas,9,6,1,0,NA,1
acquired,software,Americas,NA,14,1,7870770,1,6
acquired,software,NA,1,NA,0,0,NA,2
acquired,mobile,Europe,NA,10,3,5849834,1,4
acquired,news,Americas,19,5,0,0,3,12
ipo,software,Europe,NA,21,0,0,1,21
acquired,cleantech,Americas,NA,5,3,1585474,1,4
acquired,web,NA,3,5,2,10108,2,1
ipo,mobile,Americas,NA,25,0,0,NA,4
closed,games_video,NA,NA,13,0,0,1,NA
closed,web,Asia,3,7,2,39609,NA,2
acquired,web,NA,1,7,0,0,1,1
closed,public_relations,NA,NA,NA,1,15159,1,2
closed,software,Americas,3,6,1,101005,NA,NA
acquired,software,Americas,NA,6,2,7919906,1,2
acquired,NA,Americas,NA,17,0,0,NA,1
acquired,enterprise,Americas,NA,12,5,18725800,1,2
closed,hardware,Americas,NA,6,1,353504,NA,3
acquired,web,NA,NA,NA,0,0,3,3
acquired,software,Asia,NA,10,2,16564222,NA,NA
closed,software,Europe,NA,12,2,3646357,NA,NA
ipo,semiconductor,Europe,NA,NA,0,0,2,20
closed,web,Americas,7,10,1,0,NA,3
acquired,medical,Americas,NA,NA,2,63124653,NA,2
closed,network_hosting,Americas,NA,8,1,0,NA,3
acquired,network_hosting,Americas,121,15,0,0,2,14
acquired,NA,NA,NA,NA,0,0,1,4
acquired,web,Americas,10,4,1,0,NA,5
ipo,other,Americas,NA,88,0,0,2,58
acquired,consulting,Americas,80,14,3,19204014,2,19
closed,games_video,Americas,4,6,2,197988,3,3
acquired,games_video,Americas,8,NA,0,0,NA,5
acquired,biotech,Europe,29,7,4,134648542,2,10
closed,cleantech,Europe,25,8,1,7984392,NA,4
closed,software,Americas,45,6,1,0,1,1
acquired,network_hosting,Europe,19,12,1,5464942,1,4
acquired,enterprise,Europe,24,14,1,2158525,NA,3
acquired,biotech,Americas,12,13,1,16810712,1,6
closed,search,NA,5,6,0,0,NA,NA
acquired,software,Americas,NA,12,0,0,1,6
acquired,mobile,Americas,70,12,0,0,1,1
acquired,mobile,Americas,89,10,6,65276374,3,10
ipo,software,Americas,757,14,2,44253022,2,24
acquired,software,Americas,NA,NA,2,3366000,NA,5
closed,public_relations,Oceania,8,5,1,49471,NA,1
acquired,music,Americas,25,6,1,1484879,3,13
acquired,search,NA,NA,11,0,0,NA,1
acquired,consulting,Americas,NA,40,0,0,NA,NA
acquired,mobile,Europe,50,13,1,17240115,1,10
closed,web,NA,NA,5,0,0,NA,2
ipo,enterprise,Americas,79948,112,0,0,4,13
acquired,web,Europe,NA,NA,0,0,NA,NA
acquired,fashion,Asia,NA,6,0,0,2,3
closed,web,NA,NA,0,1,5939981,NA,NA
closed,games_video,Europe,NA,5,1,0,2,1
acquired,mobile,NA,NA,NA,0,0,NA,NA
acquired,mobile,Americas,NA,14,1,9901074,2,4
acquired,web,NA,NA,5,1,0,2,1
ipo,fashion,Americas,NA,NA,0,0,1,1
acquired,web,NA,8,4,0,0,NA,1
acquired,games_video,Americas,NA,7,1,3168016,NA,1
closed,software,NA,NA,4,1,0,1,NA
closed,web,NA,NA,4,1,0,1,2
acquired,advertising,Americas,NA,14,3,13079450,NA,3
closed,other,Europe,NA,6,0,0,1,3
closed,web,Americas,0,6,0,0,1,2
acquired,software,Europe,44,18,1,5826241,3,10
closed,hardware,NA,3,5,0,0,NA,2
closed,ecommerce,Americas,12,8,0,0,1,1
acquired,web,Europe,NA,9,0,0,NA,1
acquired,search,Americas,NA,15,0,0,1,3
acquired,search,Americas,NA,7,0,0,1,1
acquired,software,Americas,809,16,0,0,3,20
acquired,web,NA,NA,NA,0,0,1,1
acquired,ecommerce,Americas,NA,10,0,0,NA,2
acquired,advertising,Americas,79,8,0,0,2,6
acquired,web,NA,NA,NA,0,0,NA,1
acquired,ecommerce,NA,NA,NA,0,0,NA,NA
closed,web,Americas,NA,NA,1,1980019,1,NA
acquired,mobile,Americas,18,8,1,5050045,3,6
acquired,advertising,NA,NA,13,0,0,2,1
acquired,biotech,NA,NA,NA,1,4039859,NA,NA
acquired,biotech,Americas,NA,10,3,64720442,2,9
closed,web,NA,NA,4,1,0,NA,NA
acquired,public_relations,NA,NA,NA,0,0,NA,1
acquired,web,Americas,NA,19,0,0,1,6
acquired,photo_video,Asia,NA,8,3,5246917,3,7
closed,games_video,NA,0,8,1,18178,NA,3
acquired,finance,Americas,10,5,2,1010060,3,4
acquired,games_video,Europe,55,8,1,8908470,3,3
acquired,other,Americas,3,6,0,0,1,3
acquired,advertising,Americas,11,5,1,1009928,2,13
acquired,web,Americas,NA,NA,0,0,2,1
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,14,1,1653350,NA,1
acquired,software,Oceania,NA,9,0,0,NA,2
acquired,security,Americas,NA,14,1,11879992,2,7
closed,ecommerce,Americas,2,5,0,0,NA,2
closed,software,Europe,3,5,1,15731,NA,3
closed,advertising,NA,NA,9,0,0,NA,NA
closed,games_video,NA,NA,NA,0,0,NA,NA
acquired,mobile,Americas,50,14,0,0,2,9
closed,ecommerce,Americas,NA,5,1,494914,2,3
acquired,software,Americas,NA,10,1,6060042,NA,3
acquired,other,NA,NA,NA,0,0,NA,NA
acquired,advertising,NA,NA,NA,1,1009997,3,2
acquired,NA,Americas,NA,18,0,0,2,NA
acquired,other,Europe,NA,NA,1,135311,NA,2
acquired,ecommerce,NA,4,9,0,0,NA,NA
acquired,consulting,Americas,NA,NA,0,0,NA,NA
closed,web,Americas,3,7,1,0,NA,1
ipo,other,Americas,NA,33,0,0,2,29
acquired,hardware,Americas,1719,16,0,0,2,4
acquired,software,Americas,NA,NA,0,0,NA,2
closed,ecommerce,Americas,NA,NA,2,14140218,2,9
acquired,security,Americas,NA,11,1,10395230,1,3
acquired,software,Americas,NA,NA,0,0,2,1
closed,search,Americas,NA,7,2,3108406,2,2
acquired,mobile,Americas,35,8,1,0,1,2
acquired,web,Americas,4,4,1,2574096,3,7
acquired,software,NA,NA,NA,0,0,NA,3
closed,NA,Americas,NA,12,1,3959952,1,1
closed,ecommerce,NA,NA,6,1,148518,1,2
acquired,enterprise,Americas,6,5,2,1666571,3,3
ipo,games_video,Asia,NA,NA,0,0,2,1
ipo,security,Americas,NA,62,0,0,2,30
closed,web,NA,14,7,0,0,NA,2
closed,advertising,NA,11,5,1,151466,1,2
acquired,network_hosting,Americas,NA,17,0,0,NA,1
acquired,ecommerce,Americas,NA,13,0,0,1,3
acquired,ecommerce,Americas,6,7,0,0,NA,2
acquired,NA,Europe,NA,9,0,0,NA,NA
acquired,advertising,Americas,28,13,0,0,NA,NA
acquired,enterprise,Americas,NA,NA,3,28482072,3,5
closed,other,NA,10,7,1,98999,NA,1
acquired,other,Europe,5,5,0,0,1,9
closed,web,Europe,2,4,0,70283,1,1
closed,web,Europe,2,4,1,0,NA,2
acquired,games_video,NA,NA,NA,0,0,NA,NA
acquired,semiconductor,Americas,NA,NA,0,0,NA,1
acquired,software,Oceania,NA,29,0,0,1,1
acquired,network_hosting,Americas,NA,NA,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,1,1
acquired,web,Europe,2,5,1,79244,NA,3
acquired,software,Americas,NA,44,0,0,2,5
closed,biotech,Americas,NA,9,4,117314845,1,3
acquired,cleantech,Americas,NA,6,5,33383137,3,8
closed,software,NA,NA,NA,1,1336291,NA,NA
acquired,advertising,Americas,18,3,1,1088964,2,9
closed,advertising,Asia,15,6,0,0,0,3
closed,software,NA,15,5,0,0,1,4
ipo,enterprise,Americas,NA,7,3,110384242,3,27
acquired,software,NA,NA,NA,3,13604522,1,2
acquired,mobile,Americas,NA,NA,5,119181969,3,8
ipo,biotech,NA,NA,NA,1,43065775,1,9
acquired,enterprise,Americas,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,6,2,9900411,1,10
acquired,advertising,Americas,NA,16,0,0,NA,2
closed,biotech,NA,NA,NA,1,10977944,NA,NA
closed,biotech,Americas,NA,NA,2,6929995,NA,1
acquired,biotech,NA,NA,NA,1,42925050,NA,2
acquired,biotech,NA,NA,NA,1,22135870,NA,NA
acquired,enterprise,NA,NA,NA,0,0,2,8
closed,other,Americas,NA,6,2,10395130,1,3
acquired,biotech,Americas,NA,6,1,19799936,NA,NA
acquired,advertising,Americas,NA,8,1,20199702,1,10
acquired,enterprise,Europe,30,10,1,990088,2,5
closed,consulting,Americas,NA,5,0,0,1,1
acquired,NA,NA,NA,NA,0,0,1,1
acquired,other,Americas,152,NA,1,27270752,NA,4
acquired,games_video,Americas,NA,21,1,5292268,2,12
acquired,network_hosting,Americas,20,6,2,19799067,2,4
acquired,social,Europe,172,7,1,12124105,2,13
closed,software,Americas,5,5,0,0,NA,5
acquired,analytics,Americas,49,8,6,51183373,2,11
ipo,biotech,Americas,NA,NA,4,115830011,1,6
closed,web,NA,NA,5,0,0,NA,NA
acquired,software,Europe,NA,5,0,0,1,1
acquired,NA,Europe,NA,NA,0,0,3,8
closed,web,Europe,2,5,1,0,NA,2
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,semiconductor,Americas,NA,12,1,29699966,1,3
acquired,software,Americas,NA,12,1,0,0,9
acquired,software,Americas,NA,27,0,0,NA,21
acquired,software,Americas,NA,22,0,0,1,12
closed,hardware,NA,NA,NA,1,0,NA,NA
acquired,games_video,NA,NA,NA,0,0,NA,NA
acquired,other,Americas,12,24,0,0,NA,2
closed,search,Americas,NA,4,2,346401,NA,1
acquired,software,Americas,10,6,2,2019935,2,7
closed,cleantech,Asia,NA,NA,1,6060307,NA,NA
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,enterprise,NA,NA,NA,0,0,NA,NA
acquired,web,Americas,NA,15,3,44055179,1,3
acquired,software,Americas,58,6,0,0,NA,NA
closed,software,Americas,NA,NA,4,23230317,1,8
acquired,biotech,Americas,NA,NA,2,8079621,NA,3
acquired,mobile,Americas,NA,10,3,8887779,1,2
acquired,NA,NA,NA,NA,0,0,1,NA
acquired,NA,NA,NA,NA,0,0,NA,2
acquired,web,Europe,NA,10,0,0,NA,NA
acquired,enterprise,NA,NA,31,0,0,1,64
acquired,software,Americas,NA,14,0,0,NA,2
acquired,enterprise,NA,4,5,0,0,1,2
closed,NA,NA,NA,NA,0,0,1,1
acquired,other,Americas,24,11,0,0,NA,2
acquired,NA,Americas,NA,5,0,0,1,1
closed,games_video,Europe,3,4,1,135587,NA,NA
acquired,software,Europe,NA,7,0,0,1,6
acquired,biotech,Americas,NA,11,4,73731627,NA,8
closed,enterprise,Americas,8,4,2,494928,NA,4
closed,web,Americas,10,4,1,0,NA,3
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,mobile,NA,NA,NA,1,1980020,0,10
closed,public_relations,Americas,NA,NA,0,0,2,9
acquired,web,Europe,606,19,0,0,2,6
acquired,web,Europe,20,9,2,3509256,NA,4
acquired,public_relations,Americas,NA,13,2,28709642,1,9
acquired,software,Americas,NA,14,1,10099683,1,3
closed,other,NA,10,5,1,9900,NA,3
acquired,advertising,Americas,160,10,2,15251399,3,5
acquired,cleantech,Europe,NA,NA,4,32790625,NA,NA
acquired,web,NA,4,4,0,0,1,2
closed,web,Americas,3,4,1,1188049,1,2
acquired,games_video,Europe,NA,NA,2,2772028,1,6
ipo,enterprise,Americas,NA,4,1,41580042,0,5
ipo,enterprise,Americas,NA,9,3,50601180,2,16
acquired,enterprise,Americas,24,4,5,5404116,3,8
acquired,web,Asia,111,NA,2,3383204,3,4
acquired,web,Americas,20,5,2,4999458,3,22
acquired,advertising,NA,NA,4,4,12937352,2,13
closed,web,Americas,5,6,0,0,NA,1
acquired,web,NA,2,5,0,0,2,2
acquired,NA,Europe,NA,NA,0,0,1,5
acquired,NA,Americas,NA,9,1,9454791,2,5
acquired,software,Americas,20,12,2,4311460,3,8
acquired,mobile,Europe,NA,NA,1,1209750,NA,2
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,public_relations,NA,NA,NA,0,0,NA,1
closed,web,NA,NA,4,2,0,NA,1
closed,web,Europe,10,5,1,1005482,2,8
closed,web,Americas,NA,NA,0,0,1,2
acquired,security,NA,NA,NA,3,16067242,1,5
acquired,ecommerce,NA,NA,NA,1,0,1,NA
acquired,ecommerce,Asia,403,4,1,7424541,3,4
closed,mobile,Europe,4,4,0,238184,NA,2
closed,web,Europe,5,5,1,99055,NA,2
closed,web,Americas,3,6,2,880832,1,3
acquired,web,Americas,50,9,1,59388113,2,9
acquired,NA,Americas,12,6,0,0,3,2
ipo,hardware,Americas,NA,43,0,0,3,23
acquired,web,Americas,NA,NA,2,10642868,3,8
ipo,enterprise,Americas,346,9,2,23075064,2,4
closed,web,Europe,20,9,0,0,NA,1
acquired,consulting,Americas,505,14,0,0,1,17
acquired,biotech,Europe,NA,NA,3,90584231,1,5
closed,cleantech,NA,NA,NA,1,14038707,NA,2
closed,mobile,NA,3,7,1,260763,NA,3
acquired,NA,NA,NA,6,0,0,NA,NA
acquired,search,NA,11,5,2,772498,3,3
acquired,games_video,NA,NA,NA,1,7069716,2,4
closed,web,Americas,NA,4,0,0,NA,1
acquired,semiconductor,Americas,NA,13,4,80207208,1,2
acquired,network_hosting,Europe,NA,12,4,90394783,NA,5
acquired,network_hosting,Europe,NA,NA,1,21936513,NA,4
acquired,enterprise,Americas,12,5,3,11614896,3,3
closed,other,Americas,5,7,2,792100,NA,8
acquired,software,Americas,NA,12,0,0,NA,1
acquired,NA,NA,NA,NA,0,0,1,1
acquired,ecommerce,Europe,NA,12,0,0,NA,NA
acquired,consulting,Americas,NA,13,0,0,1,2
acquired,web,Americas,NA,4,0,0,2,4
acquired,NA,Americas,NA,NA,0,0,NA,1
acquired,NA,Americas,NA,4,0,0,NA,6
acquired,ecommerce,Americas,NA,5,3,1804645,3,10
ipo,other,Americas,NA,NA,0,0,NA,2
acquired,games_video,NA,NA,6,0,0,NA,NA
acquired,network_hosting,Americas,13,8,0,0,NA,1
acquired,web,NA,NA,5,1,0,2,3
closed,network_hosting,Americas,NA,11,1,7575303,2,3
acquired,mobile,Europe,NA,11,3,9417692,2,1
closed,software,Europe,5,6,1,316807,NA,4
acquired,software,Americas,NA,5,0,0,3,3
closed,web,Americas,5,5,1,302986,NA,4
acquired,biotech,Americas,NA,NA,0,0,NA,1
closed,semiconductor,Asia,NA,44,1,14216494,NA,NA
acquired,cleantech,Americas,202,14,4,68102840,2,8
acquired,software,Americas,79,12,3,27269355,NA,NA
acquired,mobile,Americas,199,14,2,28279943,3,7
acquired,software,Americas,NA,6,1,6929756,1,2
acquired,games_video,Americas,NA,15,0,0,1,11
acquired,games_video,NA,NA,NA,0,0,NA,NA
acquired,security,Americas,NA,5,0,0,1,2
acquired,ecommerce,Americas,NA,NA,2,17169903,NA,1
acquired,mobile,Americas,7,NA,1,2969974,2,4
acquired,mobile,Americas,4,6,0,0,2,4
acquired,games_video,Americas,65,8,0,0,2,20
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,fashion,Americas,201,6,2,40589462,2,15
ipo,mobile,Americas,NA,12,3,32354014,4,23
acquired,software,Americas,26,11,3,21675003,2,1
acquired,biotech,Americas,NA,NA,0,0,NA,4
acquired,public_relations,Europe,NA,13,1,8342860,NA,1
acquired,biotech,Americas,NA,10,0,0,NA,NA
acquired,biotech,Americas,NA,NA,0,0,1,2
acquired,games_video,NA,NA,6,1,2078942,3,5
acquired,mobile,Americas,72,10,2,11608437,2,2
closed,games_video,Americas,6,5,1,0,NA,2
acquired,NA,NA,NA,NA,0,0,NA,0
acquired,games_video,Americas,NA,5,2,76759821,3,36
acquired,ecommerce,NA,NA,4,1,494995,1,2
acquired,hardware,Americas,51,7,2,20541992,2,12
acquired,finance,Americas,NA,7,4,54797012,2,8
acquired,advertising,Americas,24,4,3,9905174,3,30
acquired,mobile,Europe,NA,NA,0,0,1,1
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,enterprise,Americas,NA,NA,0,0,2,2
acquired,software,NA,NA,23,2,9998627,NA,NA
acquired,mobile,Americas,NA,14,1,5939898,NA,23
closed,web,NA,2,4,0,0,NA,NA
closed,web,Americas,5,5,0,0,1,5
ipo,advertising,Asia,NA,8,2,20987523,2,7
closed,software,Americas,NA,6,1,5444691,1,1
acquired,semiconductor,NA,NA,32,0,0,1,7
ipo,semiconductor,Americas,NA,NA,1,19800187,NA,7
closed,semiconductor,Americas,NA,5,1,7070004,NA,3
acquired,software,Americas,NA,NA,0,6060088,1,9
ipo,software,Americas,521,6,1,3959927,4,23
closed,games_video,Europe,NA,18,1,3898752,NA,NA
acquired,advertising,Americas,NA,NA,0,0,2,8
ipo,biotech,Americas,NA,28,1,173707175,2,108
closed,mobile,NA,NA,NA,0,0,1,NA
acquired,games_video,NA,NA,4,0,0,NA,1
acquired,hardware,Americas,16,4,2,3751799,2,8
acquired,software,Europe,12,8,4,24937484,1,4
closed,network_hosting,Americas,NA,NA,3,9564589,1,9
acquired,advertising,Americas,7,5,0,0,1,4
acquired,ecommerce,Americas,11,7,0,0,NA,2
acquired,software,NA,NA,NA,1,2573994,NA,2
closed,software,NA,NA,NA,1,1979562,NA,NA
closed,web,Europe,1,4,2,40987,NA,1
acquired,software,Europe,NA,8,1,3534631,NA,NA
acquired,NA,NA,2,NA,0,0,1,2
acquired,medical,Americas,NA,9,3,14553110,1,3
acquired,mobile,NA,NA,NA,1,0,1,5
acquired,software,Americas,10,5,3,2050942,2,6
closed,hardware,Europe,NA,NA,1,1544434,NA,NA
closed,biotech,Europe,NA,5,1,0,NA,4
closed,biotech,Europe,NA,9,1,0,NA,2
acquired,analytics,Americas,45,6,6,35551735,3,18
closed,software,Europe,NA,NA,1,698899,NA,NA
ipo,biotech,Americas,NA,11,4,118170806,1,22
acquired,public_relations,NA,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,13,0,0,1,3
acquired,software,Americas,NA,15,1,9899948,1,7
closed,semiconductor,NA,NA,NA,1,1435452,NA,NA
closed,software,Americas,NA,NA,1,1090783,NA,NA
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,mobile,Americas,NA,NA,2,742577,2,7
closed,ecommerce,NA,NA,6,0,541485,NA,NA
closed,web,NA,NA,4,0,0,1,1
closed,software,Asia,5,6,0,5046,NA,2
closed,games_video,Americas,NA,14,2,30602214,2,9
acquired,ecommerce,Europe,100,8,7,54151283,3,15
closed,mobile,Europe,NA,NA,1,1564293,NA,NA
closed,web,Asia,6,5,2,2019917,3,3
closed,network_hosting,Americas,NA,NA,1,991950,NA,NA
closed,software,Asia,NA,10,2,1545389,NA,NA
closed,software,Europe,NA,11,1,334805,NA,NA
closed,web,NA,NA,NA,1,4455235,NA,NA
closed,software,Oceania,NA,NA,1,778079,NA,NA
acquired,software,Americas,NA,12,0,0,1,11
acquired,transportation,Americas,NA,13,4,61310744,3,34
acquired,enterprise,NA,NA,NA,0,0,NA,NA
acquired,games_video,NA,NA,NA,0,0,1,1
closed,semiconductor,Americas,NA,14,1,21209494,1,4
acquired,ecommerce,Americas,NA,NA,0,0,NA,NA
closed,software,Europe,NA,7,2,452478,NA,NA
acquired,enterprise,Americas,NA,9,1,3959964,2,3
closed,software,Europe,NA,NA,1,49496,NA,NA
closed,web,Americas,8,NA,1,643536,NA,2
acquired,enterprise,Americas,60,5,3,44550508,2,17
acquired,cleantech,Americas,NA,8,1,17820444,NA,1
acquired,cleantech,Americas,NA,NA,7,647954360,2,10
acquired,other,Americas,NA,16,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,NA,NA
closed,ecommerce,NA,5,6,1,49539,NA,NA
